Address,rai-eth-uni-v2,idle,aave,fuse-borrower-no-rai-supply,rai-dai-uni-v3,Total
0xa09b653a3c5057dd60ad98a4f308c0eddf2159cd,0.0,0.0,0.0,0.0,963.8682764287294,963.868276429
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,213.21667701596655,0.0,0.0,0.0,687.8820973335855,901.098774350
0xd35d8f5df82f61f2cb84b5871350d2a97b275391,0.0,0.0,0.0,0.0,392.3413569579751,392.341356958
0x5edcf547ece0ea1765d6c02e9e5bae53b52e09d4,0.0,13.014856293,0.0,110.63693130752034,133.0376539482231,256.689441549
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,0.0,0.0,0.0,0.0,239.90706231751497,239.907062318
0x3989c4f265d18d7196b97168d77b240802bfb40c,5.38968061039945,0.0,0.0,0.0,232.864099779394,238.253780390
0x3bcf3db69897125aa61496fc8a8b55a5e3f245d5,0.0,0.0,211.6176018418424,0.0,0.0,211.617601842
0x20730820ab819e69e8e632574382f6d4d9fee50f,39.10847505188503,0.0,0.4528130689861841,0.0,149.99074592526367,189.552034046
0x79792c512d1029a640c86f20c9d30ef3643d4d38,36.33378480767946,0.0,1.5778040532828854,0.0,141.7717350119399,179.683323873
0x64d6539c03352d0faeab9c2a1c3120dba859836c,0.0,81.00495246,0.0,68.46029450225318,0.0,149.465246962
0xf2e563f6fbf25cf23dbe57d25287e10339ad3b6f,0.0,0.0,6.490152972261882,0.0,134.62159619691775,141.111749169
0xe2e4f2a725e42d0f0ef6291f46c430f963482001,113.00137594477806,0.0,0.0,0.0,0.0,113.001375945
0x4305bafe9ff70a0b1661605acc8c1b166ca06504,0.0,0.0,0.0,0.0,96.78727613559354,96.787276136
0x1f84ca2c0a406b32e083e4e41032fd148364df48,57.69299661703124,30.771830732,0.0,0.0,0.0,88.464827349
0x1dd01835e0eb26abe597e2e69ffac1a6cd00283a,0.0,0.0,0.0,0.0,88.00106282115512,88.001062821
0x26da854f28f2181858ce4aad1cdb0c2027b6465c,0.0,0.0,0.0,0.0,87.29032397810602,87.290323978
0x080bd20ae866b1df75b4d724fb2570e9fe0570db,0.0,0.0,0.0,0.0,82.43660825108834,82.436608251
0xd2d58f785ea44dec2d3443cae65fb2ad66a2f67f,0.0,0.0,0.0,0.0,64.50946073205317,64.509460732
0x9e1e303635910c2d398647313170b11fc41cb0dc,0.0,48.272821673,15.93588362652284,0.0,0.0,64.208705300
0x2b290f41af8e0e6db68c0d8325394d8935d1d990,0.0,0.0,0.0,0.0,60.982479150154205,60.982479150
0xbeb7b18735f9132271be67b9fb6e52e0a332f165,0.0,15.360524159,0.0,29.16461004193644,0.0,44.525134201
0x028b2b9adca1bd1263086b0b221713a684968817,0.0,0.368312084,0.1501656739469566,42.85080484684824,0.0,43.369282605
0x0154d25120ed20a516fe43991702e7463c5a6f6e,0.0,41.222642581,0.0,0.0,0.0,41.222642581
0xc218d847a18e521ae08f49f7c43882b6d1963c60,0.0,0.0,0.0,0.0,36.22583634529146,36.225836345
0x234706e979b7c04dd3a44183b0f46536fc6ae185,0.0,0.0,0.0,34.69522335184772,0.0,34.695223352
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,20.58902007869496,0.0,0.0,0.0,12.267533569252404,32.856553648
0xf32fc1113f4769f59984d615e91a8e94548f2790,13.356435099016442,0.0,0.0,0.0,16.115933159425552,29.472368258
0x8b8b1fd1b4c64beddac60492a8af489c03b82c9f,0.0,0.0,0.0,0.0,26.391793789062827,26.391793789
0x78e96be52e38b3fc3445a2ed34a6e586ffab9631,0.0,26.355018842,0.0,0.0,0.0,26.355018842
0xce824663bccb32e2dad1a8f2a26b698290417b34,0.0,11.699511037,0.0,1.1818693381597078,13.44033778298014,26.321718158
0xb8ec7c6483444572a486e22dd8f875bb26e14472,0.0,0.0,22.06253389332318,0.0,0.0,22.062533893
0x5a1cae6f827791bf6108049bb0ce72c5dae856f2,17.09372062680041,0.0,0.0,0.0,0.0,17.093720627
0x5b78ae09929c53c77ba29a13265e35a2f62dd89f,0.0,0.0,0.0,17.015106705126044,0.0,17.015106705
0xfa8f11e4ad7bc8c7f210bc646d9a23bad4603f49,0.0,16.813545059,0.0,0.0,0.0,16.813545059
0xd37f7b32a541d9e423f759dff1dd63181651bd04,0.0,0.0,0.0,0.0,16.23201964422164,16.232019644
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,11.255077914097011,0.0,0.0,0.0,0.0,11.255077914
0xbf370b6e9d97d928497c2f2d72fd74f4d9ca5825,11.032475359427114,0.0,0.0,0.0,0.0,11.032475359
0x0e7af95de26bf10e6b9f00d846c22757aa582b9c,0.0,0.0,10.326723090335898,0.0,0.0,10.326723090
0xd18538260f437c083f4c7caf08cd06ce7ccc921b,0.0,0.0,0.0,0.0,10.096628592133492,10.096628592
0x54c375c481f95ba43e2cecd6ef30631f55518f57,6.141178952025108,0.140153497,0.0,0.0,3.067240011993132,9.348572461
0x7ce5b61edc64425528d0e3264c5a4946e84dcca5,0.0,8.874240493,0.0,0.0,0.0,8.874240493
0x3caba50e426de2003f937ac961bd6834b206fb1c,8.245737678549661,0.0,0.0,0.0,0.0,8.245737679
0x6749f1a7c7f0f3a4d44abfc881e4796b59df2f06,7.448112318062354,0.0,0.0,0.0,0.0,7.448112318
0x6a43e60d5520912d20f19eb29a011e82a6ee50ae,0.0,0.0,0.0,0.0,7.382479994652991,7.382479995
0x17535cc8178936c55b7eba7844dd43e958d45db9,7.173391862143716,0.0,0.0,0.0,0.0,7.173391862
0x1638e6e26f49c3b9ee48c03daf1097968c837851,0.0,0.0,0.0,0.0,6.877409828570117,6.877409829
0x5d30cadb7610e5ff1446b164423d76af3bb4e5cf,4.364183330780659,0.0,0.0,0.0,1.9198594833082596,6.284042814
0xf6853c77a2452576eae5af424975a101ffc47308,0.0,6.21036876,0.0,0.0,0.0,6.210368760
0xc0e5a550db6d9a4ff039255e8f9982aea28d177e,0.0,0.0,6.100420551900265,0.0,0.0,6.100420552
0xa231a5ae629a0f15e1c1eb3ffbf813589e206926,0.0,0.0,0.0,0.0,6.051201482207627,6.051201482
0xbfa52e0b5d8f22542d579e3a320fd02f184a6bfa,5.521761430266565,0.0,0.0,0.0,0.0,5.521761430
0xa7a23739862e45914e9fea98883b5a85e7d9525f,0.0,0.0,5.219528832427914,0.0,0.0,5.219528832
0x6eec9242c7e1a678c4575984fb3a87426caa1cf2,0.0,0.0,5.098960996840577,0.0,0.0,5.098960997
0xa16946a605ddb755d3a5774b6124f97fed1bd1e3,0.0,3.726988332,0.0,0.0,0.0,3.726988332
0x23c3ca8d1aa9bd45c10a8696ea58b2f6a205bb20,0.0,0.0,0.0,3.710839266850431,0.0,3.710839267
0x17307be3589a680452543dde06d42a07ee3fa080,3.695930953605759,0.0,0.0,2.3059993784228085e-06,0.0,3.695933260
0x4bfa6a78f8c1d1199915eab8d0b07733040a0f9d,0.0,0.0,3.422396908726937,0.0,0.0,3.422396909
0xfcffac7ca0fe69461dd32cb1286bf31d2c818ff1,0.0,0.0,3.021470819819396,0.0,0.0,3.021470820
0xc11508077ff0afe0f65e250df0a1f2787eab1ba3,3.0008895965588445,0.0,0.0,0.0,0.0,3.000889597
0x60daa6b4d1a834d13872f4e8d0dc6f725dba9a01,0.0,0.0,0.0,0.0,2.884415334975162,2.884415335
0x52a5711dc4fe437e81205bfad22ffc43f1818df7,2.8556663866197605,0.0,0.0,0.0,0.0,2.855666387
0x1c43d10c9fc37d8781e800a0aadece4f291bb872,0.0,0.0,2.823655520324562,0.0,0.0,2.823655520
0x60db7b781ca83e0612a81174512d8213f07e6508,2.737926356486143,0.0,0.0,0.0,0.0,2.737926356
0x428da84e14b52e4a1cd0afe7150abe27d1aff8c5,2.4303730002304023,0.0,0.0,0.0,0.0,2.430373000
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,0.0,0.995123472,0.0,1.3921068516701087,0.0,2.387230324
0xb20868131fbdd060f7f237f8f99c24880ed573ef,0.0,1.037450626,0.4121492857364262,0.8693277743525979,0.0,2.318927686
0xc8cec86f7c97139c803fec48b5fd7341d8282b5e,0.0,0.0,2.0630542137350414,0.0,0.0,2.063054214
0xe867cc15f6d6839d1e479041fda51ffc6db764e6,0.0,0.0,2.001675376938468,0.0,0.0,2.001675377
0xca1a7ecd9e0cf8330f71fbf5facf78890644f058,0.0,0.0,0.0,0.0,1.9071138350379029,1.907113835
0xa00c99f5f955552742f1089ded88abdc74e67bac,1.828713590219168,0.0,0.0,0.0,0.0,1.828713590
