Address,curve,rai-dai-uni-v3,uni-v2-rai-eth,Total
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,0.0,822.491481873849,606.8504462320741,1429.341928106
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,296.508679145,623.9155867441008,0.0,920.424265889
0xd35d8f5df82f61f2cb84b5871350d2a97b275391,396.77353608,118.13437570396484,0.0,514.907911784
0xd37f7b32a541d9e423f759dff1dd63181651bd04,0.0,97.67737439319556,36.87092891078449,134.548303304
0x2b290f41af8e0e6db68c0d8325394d8935d1d990,0.0,91.3901511620233,0.0,91.390151162
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,86.190835001,0.0,0.0,86.190835001
0x6a43e60d5520912d20f19eb29a011e82a6ee50ae,0.0,79.8937444945872,0.0,79.893744495
0x0210b1ed07df594fd3aac32832a6e1690554716a,60.835666282,0.0,0.0,60.835666282
0x51dfca1cb4eac9f9207fb8ab43e96ff5b99ff24f,40.147379554,0.0,0.0,40.147379554
0xbf370b6e9d97d928497c2f2d72fd74f4d9ca5825,0.0,0.0,39.920082298124704,39.920082298
0x32ef116dd6d6c997ecbd277625715aa3058755b3,29.255121236,0.0,0.0,29.255121236
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,0.0,0.0,28.41869857284557,28.418698573
0x5a1cae6f827791bf6108049bb0ce72c5dae856f2,0.0,0.0,22.045459636746976,22.045459637
0x17535cc8178936c55b7eba7844dd43e958d45db9,0.0,0.0,21.97832794887048,21.978327949
0xfa8f11e4ad7bc8c7f210bc646d9a23bad4603f49,0.0,13.970580380069023,0.0,13.970580380
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,0.0,0.0,13.912984176252206,13.912984176
0x6e185658442ab2a27f86402fc36b379c8ffc76f8,0.0,0.0,10.8167512337372,10.816751234
0x8caa7ebe5c6ae6087fb65315d1b5aa7acd33b854,9.996911368,0.0,0.0,9.996911368
0x32b067831860731c4ab591f7762f6eed2df51513,0.0,0.0,9.265058461571796,9.265058462
0xc11508077ff0afe0f65e250df0a1f2787eab1ba3,0.0,0.0,9.155814757782352,9.155814758
0x52a5711dc4fe437e81205bfad22ffc43f1818df7,0.0,0.0,8.444046711004775,8.444046711
0x1638e6e26f49c3b9ee48c03daf1097968c837851,0.0,0.0,8.259454449719744,8.259454450
0x09528b6c6fc792eff0c70563c9b4c4c6e38da61d,0.0,7.923359966850158,0.0,7.923359967
0x42869a8455671c419bdcd1905f4966e6d305f216,0.0,0.0,7.665420908484302,7.665420908
0xa00c99f5f955552742f1089ded88abdc74e67bac,6.988069959,0.0,0.0,6.988069959
0x60db7b781ca83e0612a81174512d8213f07e6508,0.0,0.0,6.913173274631355,6.913173275
0xcd3cde8040627dbe6874fac9525bb24422e3f4d4,0.0,0.0,5.298042816876864,5.298042817
0x6c9c5ce574f160a45bd8411e20fa647c2b112a1e,0.001277074,0.0,4.492108752610095,4.493385827
0x983848be568f9bbeaac4190ec3396c0e943b54de,0.0,0.0,4.15584812553757,4.155848126
0x2b1d2d290268cb4c4862d4a658f1c2a663c0f79a,0.0,0.0,3.3391667952172064,3.339166795
0x93433264cccb31c80a62b0eee78e37ebbb0377e3,0.0,0.0,3.2123554701828088,3.212355470
0x182a15931cf7e4d02c667177aa454ec51b6c7a8a,0.0,0.0,2.8044123842732835,2.804412384
0xdb9123dc5b366d5b6af249ff463d49f66d4d373a,0.0,0.0,2.66944181089914,2.669441811
0x2d5d4869381c4fce34789bc1d38acce747e295ae,2.645202373,0.0,0.0,2.645202373
0x3e893426e65cf198d4df266b77cfa46559c815ee,0.0,0.0,2.591217226196927,2.591217226
0x6cb286fe6915adbd4f5c08b09841839e66335cfb,0.0,0.0,2.396727215943252,2.396727216
0xd9c505b9484283604c1b719c7cb710655ca9970f,0.0,0.0,2.2573909073423204,2.257390907
0x8b8035db08cd7a0173988d2f6d5708ddb5473279,0.0,0.0,2.2399958450703097,2.239995845
0x98a5aa2d55339710e4d795f83593fc225f8e2bdd,0.0,0.0,2.2388660550573065,2.238866055
0x2816affb6b2e646e2d9f2529c5affed6d13e0c0c,0.0,0.0,2.2180295141428807,2.218029514
0xfaed78f3a8bc9532c3f10c8ded0e0f5251c42d39,0.0,0.0,2.1018388421221936,2.101838842
0x689ca2d9beaca70b89afff84bc0c3bae78979b43,0.0,0.0,1.926003042095341,1.926003042
0x30043aabbcebbd887437ec4f0cfe6d4c0eb5cc64,0.0,0.0,1.9229043889024284,1.922904389
0x6630a2af9f49c14c6bedeac703eb56316bd0e950,0.0,0.0,1.7821270712322044,1.782127071
0xbddff9b7f0930d648161eacc10645453502f3c70,0.0,0.0,1.68208608640996,1.682086086
0x5bb6f3431585aba50ca5cf670d2dfd68f8f932f3,0.0,0.0,1.6682019059281556,1.668201906
0x28431a1446c86434ded04f7f8ba6808649329f4d,0.0,0.0,1.609592343083177,1.609592343
0x037ce225946fc6b419e768abc7e5f03356bb887b,0.0,0.0,1.5923121421153916,1.592312142
0xd1c7e186db14da035e1f0e218123579b3535304e,0.0,0.0,1.5635830834633933,1.563583083
0x778549eb292ac98a96a05e122967f22efa003707,0.0,0.0,1.418267204146539,1.418267204
0x7a2103b377f02291ac22565ec0b8a85096e1c717,0.0,0.0,1.143195489744285,1.143195490
