Address,aave-mint,uni-v2-rai-eth,aave,rai-dai-uni-v3,Total
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,0.0,0.0,0.0,1103.6132112238906,1103.613211224
0x3cbc3bed185b837d79ba18d36a3859ecbcfc3dc8,0.0,0.0,9.86490718077126,443.1197896791897,452.984696860
0xd37f7b32a541d9e423f759dff1dd63181651bd04,0.0,0.0,0.0,423.6386698520229,423.638669852
0xd2d58f785ea44dec2d3443cae65fb2ad66a2f67f,0.0,0.0,2.79008602340186,401.1597532780661,403.949839301
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,0.0,376.6154004036189,0.0,0.0,376.615400404
0x42dbf634c256acd17beddc1330488f1bea7b8bdf,0.0,0.0,0.0,357.468810915887,357.468810916
0xd35d8f5df82f61f2cb84b5871350d2a97b275391,0.0,0.0,0.0,267.1690233627153,267.169023363
0x83a271889031be9d3f13f222ff631eb2ceafffbf,181.7636890590584,0.0,0.0,0.0,181.763689059
0xfa8f11e4ad7bc8c7f210bc646d9a23bad4603f49,36.51188101480546,0.0,0.0,60.85941565941196,97.371296674
0xce824663bccb32e2dad1a8f2a26b698290417b34,0.0,9.280202421169452,0.0,64.89259646432215,74.172798885
0xc218d847a18e521ae08f49f7c43882b6d1963c60,0.0,0.0,0.0,52.837920389250485,52.837920389
0x857ab110153ad57240ab920e93bfb549c045af55,0.0,0.0,49.84680538358394,0.0,49.846805384
0x09528b6c6fc792eff0c70563c9b4c4c6e38da61d,0.0,0.0,0.0,47.5183051816447,47.518305182
0x516e5b72c3fd2d2e59835c82005ba6a2bc5788a4,0.0,0.0,40.16110174851291,0.0,40.161101749
0xbf370b6e9d97d928497c2f2d72fd74f4d9ca5825,0.0,31.172832316003568,0.0,0.0,31.172832316
0x3a7bc1e308c816fbf27a368bbc44335da1d059c2,0.0,0.0,27.616332565950668,0.0,27.616332566
0x0e7af95de26bf10e6b9f00d846c22757aa582b9c,0.0,0.0,27.32960656625099,0.0,27.329606566
0x9e1e303635910c2d398647313170b11fc41cb0dc,0.0,0.0,27.056971843773542,0.0,27.056971844
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,0.0,22.19162071446887,0.0,0.0,22.191620714
0x616f29b6a5b05b76eb04347cd30ed10abe9d5ec2,20.85117692869907,0.0,0.0,0.0,20.851176929
0xf94841dafa3d449d47b539758ca92263f23834b8,19.559794281082976,0.0,0.0,0.0,19.559794281
0x4f5ef03e870332a1b42453bbf57b8a041e89efe8,3.602928828321448,0.0,0.0,15.787058384611123,19.389987213
0x6ac2c17b94b54643f000d1e33abe4d5bdbe34d1c,0.0,0.0,18.18886425656592,0.0,18.188864257
0x2b290f41af8e0e6db68c0d8325394d8935d1d990,0.0,0.0,0.0,17.559898453277544,17.559898453
0x17535cc8178936c55b7eba7844dd43e958d45db9,0.0,17.162457898250846,0.0,0.0,17.162457898
0x4bfa6a78f8c1d1199915eab8d0b07733040a0f9d,0.0,0.0,15.94925378262591,0.0,15.949253783
0xfcffac7ca0fe69461dd32cb1286bf31d2c818ff1,0.0,0.0,14.080834627689075,0.0,14.080834628
0x2e920380a239d8a6467868e3160a69c845fa0ca2,13.822839236462968,0.0,0.0,0.0,13.822839236
0x1c43d10c9fc37d8781e800a0aadece4f291bb872,0.0,0.0,13.158964225783278,0.0,13.158964226
0xe21e9593620983102d9e7868caaadf514e23e55c,12.873773520545315,0.0,0.0,0.0,12.873773521
0x5d30cadb7610e5ff1446b164423d76af3bb4e5cf,0.0,0.6866651765511814,0.0,9.933358974866689,10.620024151
0x8feeaa5f3bcc9700fb8d44fc1ba018a958f67bfe,0.0,0.9396540378922372,0.0,9.362446096752665,10.302100135
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,0.0,9.48461204281279,0.0,0.0,9.484612043
0x3caba50e426de2003f937ac961bd6834b206fb1c,0.0,8.598799562755232,0.0,0.0,8.598799563
0xa00c99f5f955552742f1089ded88abdc74e67bac,6.779634134138755,1.7129547991405785,0.0,0.0,8.492588933
0x6e185658442ab2a27f86402fc36b379c8ffc76f8,0.0,8.446595122101098,0.0,0.0,8.446595122
0xa812202eca0a478b9aff492ec831adc3a8f388a4,0.0,0.0,8.116969168093854,0.0,8.116969168
0x6a43e60d5520912d20f19eb29a011e82a6ee50ae,0.0,0.0,0.0,7.860998917465128,7.860998917
0x32b067831860731c4ab591f7762f6eed2df51513,0.0,7.234907775581295,0.0,0.0,7.234907776
0xc11508077ff0afe0f65e250df0a1f2787eab1ba3,0.0,7.149601446942606,0.0,0.0,7.149601447
0x52a5711dc4fe437e81205bfad22ffc43f1818df7,0.0,6.593795328999579,0.0,0.0,6.593795329
0xa91a3cc43fc23929fe879b853d4e6ae9568b8251,0.0,0.0,6.0107679403883205,0.0,6.010767940
0x64cff0743868c31d003a51a42b6a894b78a8fda6,0.0,0.0,5.96471490125826,0.0,5.964714901
0x79792c512d1029a640c86f20c9d30ef3643d4d38,0.0,0.0,5.4496672326370845,0.0,5.449667233
0xa20ef8a9a21cb318f0d396ba0134698e472e38dd,0.0,0.0,5.432448037064745,0.0,5.432448037
0x60db7b781ca83e0612a81174512d8213f07e6508,0.0,5.398365405466222,0.0,0.0,5.398365405
0x60daa6b4d1a834d13872f4e8d0dc6f725dba9a01,0.0,0.0,0.0,4.9827341262640905,4.982734126
0x5a0d6d0de7c74899f09d3509a429beb7d3b4b1d0,0.0,0.0,4.453002145179793,0.0,4.453002145
0xcd3cde8040627dbe6874fac9525bb24422e3f4d4,0.0,4.1371407779203935,0.0,0.0,4.137140778
0x7136fbddd4dffa2369a9283b6e90a040318011ca,3.5181535553150622,0.0970956164970475,0.0,0.0,3.615249172
0x30887fc55cbfad3487cb55bfe1779f6d2ba1c118,0.0,0.0,3.6029326409582447,0.0,3.602932641
0xf58623a5d10864e409a3be9609e892bf9252b956,0.0,0.0,3.496273996685705,0.0,3.496273997
0x040a0c8fd6c4c929648f1ca4aed3745ce3f1eaae,0.0,0.0,0.0,3.345188522806445,3.345188523
0x983848be568f9bbeaac4190ec3396c0e943b54de,0.0,3.245222687184841,0.0,0.0,3.245222687
0x1638e6e26f49c3b9ee48c03daf1097968c837851,0.0,2.974746427083203,0.0,0.0,2.974746427
0x9c7cd4977dd1c4e71abd9c0daabe92425f3f7a0c,0.0,0.0,2.8635663168581544,0.0,2.863566317
0xf42a29f2420e4e364e410ee6bb0b3a2e604feb11,0.0,0.0,0.0,2.695856414538671,2.695856415
0x2b1d2d290268cb4c4862d4a658f1c2a663c0f79a,0.0,2.6074917833363997,0.0,0.0,2.607491783
0x93433264cccb31c80a62b0eee78e37ebbb0377e3,0.0,2.5084672336988088,0.0,0.0,2.508467234
0xd7fb6add631c1a8c897fa8b92e2f349789539a60,0.0,0.0,0.0,2.4513349088963587,2.451334909
0x182a15931cf7e4d02c667177aa454ec51b6c7a8a,0.0,2.189912243842788,0.0,0.0,2.189912244
0xdb9123dc5b366d5b6af249ff463d49f66d4d373a,0.0,2.084516292502657,0.0,0.0,2.084516293
0x6cb286fe6915adbd4f5c08b09841839e66335cfb,0.0,1.8715586569146645,0.0,0.0,1.871558657
0xd9c505b9484283604c1b719c7cb710655ca9970f,0.0,1.7627535860455634,0.0,0.0,1.762753586
0x8b8035db08cd7a0173988d2f6d5708ddb5473279,0.0,1.749170113063665,0.0,0.0,1.749170113
0x98a5aa2d55339710e4d795f83593fc225f8e2bdd,0.0,1.7482878815500933,0.0,0.0,1.748287882
