Address,prai,flat-reward,lp-reward-3,lp-reward-2,cream-borrower-2,cream-borrower-1,minting-reward-1,lp-reward-4,lp-reward-1,Total
0x39d787fdf7384597c7208644dbb6fda1cca4ebdf,0.0,1.0,359.485664121,28.710891948,0.0,0.0,22.132470855,2650.6403798327565,0.0,3061.969406757
0xbc79855178842fdba0c353494895deef509e26bb,0.0,1.0,532.200996127,27.433628555,0.0,0.0,46.055302339,1839.1448685950068,0.0,2445.834795616
0xb1adceddb2941033a090dd166a462fe1c2029484,0.0,1.0,889.392329115,172.873768649,0.0,0.0,147.391404232,1001.9095145958822,0.0,2212.567016592
0xbda6ba3ad624582495c55451a1840e563fc16389,0.0,1.0,493.634130562,15.860314929,0.0,0.0,12.364071468,1476.1942666074622,0.0,1999.052783566
0x338f3ec014d7edacb98506881d1e18dc00980fdc,0.0,1.0,396.143588314,160.297978347,0.0,0.0,118.264172557,1078.3840975255173,63.918527766,1818.008364510
0xfe13988736d95d052c2e45e5b4e1ef2e2750b7f4,0.0,1.0,19.426232231,0.0,0.0,0.0,5.390210631,1401.9361503173805,0.0,1427.752593179
0x28d804bf2212e220bc2b7b6252993db8286df07f,30.0,1.0,204.207920755,66.730316211,0.0,0.0,54.386911232,826.3446910593143,220.332154292,1403.001993549
0x39c09fdc4e5c5ab72f6319ddbc2cae40e67b2a60,0.0,1.0,220.412786778,50.558900138,0.0,0.0,39.955711166,726.5493548316829,0.0,1038.476752914
0xef764bac8a438e7e498c2e5fccf0f174c3e3f8db,0.0,1.0,10.463925782,0.354979031,20.06338633559354,64.14602917031988,59.948247639,495.3691491506596,133.466350008,784.812067117
0x2de640a18fe3480aa802aca91f70177ada103391,0.0,1.0,38.404021052,0.39248717,0.0,0.0,6.669927229,629.3645756132714,0.505008345,676.336019409
0x549c0421c69be943a2a60e76b19b4a801682cbd3,0.0,1.0,23.63137015,17.720040482,0.0,0.0,14.648548176,523.3073614233998,47.994812741,628.302132972
0x86b0be38a41ee669fb2d8cb5854a3c89a0a2b8fe,0.0,1.0,111.593736719,43.005405086,0.0,0.0,34.104581038,286.63761616404094,136.754612981,613.095951988
0x2a2526422aa8239826746b41f13fcc2e59015c86,0.0,1.0,139.283759463,0.0,0.0,0.0,0.0,460.0529258741947,0.0,600.336685337
