Address,uni-v2-rai-eth,curve,rai-dai-uni-v3,Total
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,801.5783914967604,81.007498,423.04916574314905,1305.635055240
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,0.0,199.842738443,893.2980800012408,1093.140818444
0xd35d8f5df82f61f2cb84b5871350d2a97b275391,0.0,295.736205244,450.48445632788895,746.220661572
0x2b290f41af8e0e6db68c0d8325394d8935d1d990,0.0,0.0,284.48255577769174,284.482555778
0xd37f7b32a541d9e423f759dff1dd63181651bd04,66.11881847918559,0.0,164.83504539878265,230.953863878
0x6a43e60d5520912d20f19eb29a011e82a6ee50ae,0.0,0.0,147.6331631769447,147.633163177
0xdfdea277f6b44270bcb804997d1e6cc4ad8407db,0.0,117.47137476,0.0,117.471374760
0x0408e3078b8aa4eea7e51e1088b7df87698e513b,0.0,117.213600426,0.0,117.213600426
0x0210b1ed07df594fd3aac32832a6e1690554716a,0.0,69.920041291,0.0,69.920041291
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,0.0,64.242566986,0.0,64.242566986
0x51dfca1cb4eac9f9207fb8ab43e96ff5b99ff24f,0.0,51.580836026,0.0,51.580836026
0x9dc03477a733c1d580d0fa76e9dcffdbda9c89b0,0.0,49.452241354,0.0,49.452241354
0xbf370b6e9d97d928497c2f2d72fd74f4d9ca5825,48.76319007519275,0.0,0.0,48.763190075
0xfa8f11e4ad7bc8c7f210bc646d9a23bad4603f49,0.0,0.0,45.1938719279106,45.193871928
0xc1d8d203e2b02544870cc7a4896ecf033a44f717,0.0,36.747560985,0.0,36.747560985
0x28473085ba4aa761eb541914f50a75dd685cd47b,0.0,35.773873051,0.0,35.773873051
0x09528b6c6fc792eff0c70563c9b4c4c6e38da61d,0.0,0.0,35.48498412888153,35.484984129
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,34.71401661570168,0.0,0.0,34.714016616
0x3bd2ae09d89c3e351824623e738fe1a2c7b96924,0.0,32.7960435,0.0,32.796043500
0x5a1cae6f827791bf6108049bb0ce72c5dae856f2,26.92897601095834,0.0,0.0,26.928976011
0x17535cc8178936c55b7eba7844dd43e958d45db9,26.846973292839092,0.0,0.0,26.846973293
0x6373aab07710036d65d80e60018bdd631288ce4b,0.0,25.88522305,0.0,25.885223050
0x32ef116dd6d6c997ecbd277625715aa3058755b3,0.0,21.805382042,0.0,21.805382042
0x1638e6e26f49c3b9ee48c03daf1097968c837851,21.637433973444264,0.0,0.0,21.637433973
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,21.582721294301574,0.0,0.0,21.582721294
0xdd3bf573ac08cd0ceaadf972d313925f80e7bb9c,0.0,15.287659197,0.0,15.287659197
0xa00c99f5f955552742f1089ded88abdc74e67bac,0.0,14.955316466,0.0,14.955316466
0x6e185658442ab2a27f86402fc36b379c8ffc76f8,13.212880987261403,0.0,0.0,13.212880987
0x5d30cadb7610e5ff1446b164423d76af3bb4e5cf,0.0,0.0,11.881760553755967,11.881760554
0x32b067831860731c4ab591f7762f6eed2df51513,11.317456798946074,0.0,0.0,11.317456799
0xc11508077ff0afe0f65e250df0a1f2787eab1ba3,11.184013399390471,0.0,0.0,11.184013399
0x52a5711dc4fe437e81205bfad22ffc43f1818df7,10.314574296152552,0.0,0.0,10.314574296
0x32ea9a45e25a530884e68d73a0b9b9be10862596,0.0,9.717880185,0.0,9.717880185
0x42869a8455671c419bdcd1905f4966e6d305f216,9.363467088451763,0.0,0.0,9.363467088
0x60db7b781ca83e0612a81174512d8213f07e6508,8.444581348706976,0.0,0.0,8.444581349
0xcd3cde8040627dbe6874fac9525bb24422e3f4d4,6.47166674097795,0.0,0.0,6.471666741
0x6c9c5ce574f160a45bd8411e20fa647c2b112a1e,5.844093513351521,0.0,0.0,5.844093513
0x983848be568f9bbeaac4190ec3396c0e943b54de,5.076452762692382,0.0,0.0,5.076452763
0x8caa7ebe5c6ae6087fb65315d1b5aa7acd33b854,0.0,0.0,4.968028074871124,4.968028075
0x2b1d2d290268cb4c4862d4a658f1c2a663c0f79a,4.078859956047688,0.0,0.0,4.078859956
0x93433264cccb31c80a62b0eee78e37ebbb0377e3,3.923957350883722,0.0,0.0,3.923957351
0x182a15931cf7e4d02c667177aa454ec51b6c7a8a,3.4256465986786484,0.0,0.0,3.425646599
0xdb9123dc5b366d5b6af249ff463d49f66d4d373a,3.2607773062045053,0.0,0.0,3.260777306
0x3e893426e65cf198d4df266b77cfa46559c815ee,3.158856586359037,0.0,0.0,3.158856586
0x6cb286fe6915adbd4f5c08b09841839e66335cfb,2.927650898027304,0.0,0.0,2.927650898
0xd9c505b9484283604c1b719c7cb710655ca9970f,2.757448771439943,0.0,0.0,2.757448771
0x8b8035db08cd7a0173988d2f6d5708ddb5473279,2.7362003501164325,0.0,0.0,2.736200350
0x98a5aa2d55339710e4d795f83593fc225f8e2bdd,2.734820288704292,0.0,0.0,2.734820289
0x2816affb6b2e646e2d9f2529c5affed6d13e0c0c,2.709368031428572,0.0,0.0,2.709368031
0xe85881c3fee1b7d90eadef807e88073e9ba4cb42,2.665031702132133,0.0,0.0,2.665031702
0xfaed78f3a8bc9532c3f10c8ded0e0f5251c42d39,2.5674387692993834,0.0,0.0,2.567438769
0x689ca2d9beaca70b89afff84bc0c3bae78979b43,2.352651773754142,0.0,0.0,2.352651774
0x30043aabbcebbd887437ec4f0cfe6d4c0eb5cc64,2.3488667060407447,0.0,0.0,2.348866706
0x6630a2af9f49c14c6bedeac703eb56316bd0e950,2.176904357652712,0.0,0.0,2.176904358
0xbddff9b7f0930d648161eacc10645453502f3c70,2.0547022659394463,0.0,0.0,2.054702266
