Address,curve,rai-dai-uni-v3,uni-v2-rai-eth,Total
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,0.0,532.7465002779595,583.3283949236218,1116.074895202
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,152.769150168,645.0427266316428,0.0,797.811876800
0xd35d8f5df82f61f2cb84b5871350d2a97b275391,411.394054324,185.2699113363188,0.0,596.663965660
0x2b290f41af8e0e6db68c0d8325394d8935d1d990,0.0,115.0195231020016,0.0,115.019523102
0xd37f7b32a541d9e423f759dff1dd63181651bd04,0.0,75.40004326481277,39.491185119207685,114.891228384
0xdd3862a3fd4a1e93efc7bdb08a5e322678402a63,0.0,113.57459245354195,0.0,113.574592454
0x1695a8ba3f3313f9a9ed075df09c9fcc60840ba1,89.366839853,0.0,0.0,89.366839853
0x0210b1ed07df594fd3aac32832a6e1690554716a,82.567340499,0.0,0.0,82.567340499
0x6a43e60d5520912d20f19eb29a011e82a6ee50ae,0.0,82.46923048960525,0.0,82.469230490
0x51dfca1cb4eac9f9207fb8ab43e96ff5b99ff24f,71.753302037,0.0,0.0,71.753302037
0xfa8f11e4ad7bc8c7f210bc646d9a23bad4603f49,0.0,47.10247244411924,0.0,47.102472444
0xbf370b6e9d97d928497c2f2d72fd74f4d9ca5825,0.0,0.0,38.50293734617404,38.502937346
0x32ef116dd6d6c997ecbd277625715aa3058755b3,30.333129205,0.0,0.0,30.333129205
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,0.0,0.0,27.409847565907445,27.409847566
0x5a1cae6f827791bf6108049bb0ce72c5dae856f2,0.0,0.0,21.26285574318949,21.262855743
0x17535cc8178936c55b7eba7844dd43e958d45db9,0.0,0.0,21.198107200013933,21.198107200
0xa00c99f5f955552742f1089ded88abdc74e67bac,20.804109087,0.0,0.0,20.804109087
0x28473085ba4aa761eb541914f50a75dd685cd47b,17.453616617,0.0,0.0,17.453616617
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,0.0,0.0,14.337094452431058,14.337094452
0x9dc03477a733c1d580d0fa76e9dcffdbda9c89b0,12.536233375,0.0,0.0,12.536233375
0x6e185658442ab2a27f86402fc36b379c8ffc76f8,0.0,0.0,10.4327614339938,10.432761434
0x32b067831860731c4ab591f7762f6eed2df51513,0.0,0.0,8.936153056761023,8.936153057
0xc11508077ff0afe0f65e250df0a1f2787eab1ba3,0.0,0.0,8.830787455281142,8.830787455
0x32ea9a45e25a530884e68d73a0b9b9be10862596,8.418657303,0.0,0.0,8.418657303
0x52a5711dc4fe437e81205bfad22ffc43f1818df7,0.0,0.0,8.144286853768758,8.144286854
0x42869a8455671c419bdcd1905f4966e6d305f216,0.0,0.0,7.393301916747007,7.393301917
0x1638e6e26f49c3b9ee48c03daf1097968c837851,0.0,0.0,7.0119889740135015,7.011988974
0x60db7b781ca83e0612a81174512d8213f07e6508,0.0,0.0,6.667758735278962,6.667758735
0xcd3cde8040627dbe6874fac9525bb24422e3f4d4,0.0,0.0,5.109964681739649,5.109964682
0x6c9c5ce574f160a45bd8411e20fa647c2b112a1e,0.0,0.0,4.614439007021147,4.614439007
0x983848be568f9bbeaac4190ec3396c0e943b54de,0.0,0.0,4.008317387795189,4.008317388
0x2b1d2d290268cb4c4862d4a658f1c2a663c0f79a,0.0,0.0,3.220627877080118,3.220627877
0x93433264cccb31c80a62b0eee78e37ebbb0377e3,0.0,0.0,3.098318297001571,3.098318297
0x182a15931cf7e4d02c667177aa454ec51b6c7a8a,0.0,0.0,2.704857007010263,2.704857007
0xdb9123dc5b366d5b6af249ff463d49f66d4d373a,0.0,0.0,2.574677828235219,2.574677828
0x3e893426e65cf198d4df266b77cfa46559c815ee,0.0,0.0,2.4992301810779085,2.499230181
0x6cb286fe6915adbd4f5c08b09841839e66335cfb,0.0,0.0,2.3116444786404733,2.311644479
0xd9c505b9484283604c1b719c7cb710655ca9970f,0.0,0.0,2.177254546274003,2.177254546
0x8b8035db08cd7a0173988d2f6d5708ddb5473279,0.0,0.0,2.160477000882431,2.160477001
0x98a5aa2d55339710e4d795f83593fc225f8e2bdd,0.0,0.0,2.159387317906327,2.159387318
0x2816affb6b2e646e2d9f2529c5affed6d13e0c0c,0.0,0.0,2.1392904648149997,2.139290465
0xfaed78f3a8bc9532c3f10c8ded0e0f5251c42d39,0.0,0.0,2.0272245093489567,2.027224509
0x689ca2d9beaca70b89afff84bc0c3bae78979b43,0.0,0.0,1.8576308010723,1.857630801
0x30043aabbcebbd887437ec4f0cfe6d4c0eb5cc64,0.0,0.0,1.8546421486729088,1.854642149
0x2d5d4869381c4fce34789bc1d38acce747e295ae,1.77104126,0.0,0.0,1.771041260
0x6630a2af9f49c14c6bedeac703eb56316bd0e950,0.0,0.0,1.7188623624104509,1.718862362
0xbddff9b7f0930d648161eacc10645453502f3c70,0.0,0.0,1.6223727875169316,1.622372788
0x5bb6f3431585aba50ca5cf670d2dfd68f8f932f3,0.0,0.0,1.608981489192402,1.608981489
0x28431a1446c86434ded04f7f8ba6808649329f4d,0.0,0.0,1.552452539445902,1.552452539
0x037ce225946fc6b419e768abc7e5f03356bb887b,0.0,0.0,1.5357857778339603,1.535785778
0xd1c7e186db14da035e1f0e218123579b3535304e,0.0,0.0,1.5080765878320028,1.508076588
0x5fbed17c2f17a3cca5b063c233ca7313eca00630,0.0,0.0,1.4876460161764693,1.487646016
0x778549eb292ac98a96a05e122967f22efa003707,0.0,0.0,1.3679193568183825,1.367919357
0x7a2103b377f02291ac22565ec0b8a85096e1c717,0.0,0.0,1.102612564456579,1.102612564
0x39022d3441af8811efa96b4e02eb8d9e1a16abca,0.0,0.0,1.1014609417378862,1.101460942
0xbb67405f999f31d6ea181d1481859a9f889b4e57,0.0,0.0,1.0996461690358512,1.099646169
0x37830843a2eb2e636e2e6ac5503f1dbbcc9e8f51,0.0,0.0,1.079924885746036,1.079924886
0x3d56de91f46c9a5e33f98a92cddb22118c770720,0.0,0.0,1.074222886216993,1.074222886
0xa1671a34c5066eef436d0eedfa96f78d6c0d9d4f,0.0,0.0,1.0607914699126055,1.060791470
0x662b7c11e20547026f2c10403958b81dd64e9a38,0.0,0.0,1.0585384985987845,1.058538499
0x127be2424ecedcb9248c167ccc57c9c09b55fdf0,0.0,0.0,0.877887386755441,0.877887387
0xb3f23740cd908e6d8aab746d7dd41c8765017dc8,0.0,0.0,0.8616091849476996,0.861609185
0xff3f8d57c190330338724b3696c3cb5839ce2e9c,0.0,0.0,0.8591627664966983,0.859162766
0x050cea859b5a93ac7bd4db4572fb7d90b7c63cac,0.0,0.0,0.7841303933454363,0.784130393
0x839d195bf635e222893c6516329235e904f8b3cf,0.0,0.0,0.7595441409080266,0.759544141
0x1201be09fe51ceedd730285f7c1ca8d4b5f5a519,0.0,0.0,0.7064972990839441,0.706497299
0x9d2dcc1b6a86fad7e73e784e0c50a1f1ee6b0d83,0.0,0.0,0.6533433803210089,0.653343380
0x3409b624bf7af290a9cb795103be5ce02e1cfdf1,0.0,0.0,0.6308524926263405,0.630852493
0xb7794a8a3d4c2945684346f0a3281209478a01e1,0.0,0.0,0.6142152139868126,0.614215214
0x2517761dcce63ba3490f4644f26bc3053e90bd3a,0.0,0.0,0.5602401959789353,0.560240196
